학교명,학교급구분,설립일자,설립형태,본교분교구분,소재지도로명주소,시도교육청명,교육지원청명,위도,경도
대안여자중학교,중학교,1986-03-01,공립,본교,경기도 안양시 동안구 흥안대로223번길 46,경기도교육청,경기도안양과천교육지원청,37.3771591,126.9651002
대전하기중학교,중학교,2006-03-01,공립,본교,대전광역시 유성구 송림로48번길 6-30,대전광역시교육청,대전광역시서부교육지원청,36.38588907,127.3222049
목감고등학교,고등학교,2020-03-01,공립,본교,경기도 시흥시 목감둘레로 150,경기도교육청,경기도시흥교육지원청,37.37222339,126.8571834
남천중학교,중학교,1984-12-29,공립,본교,부산광역시 남구 황령대로492번길 71,부산광역시교육청,부산광역시남부교육지원청,35.13660359,129.1052341
정신여자고등학교,고등학교,1987-10-20,사립,본교,서울특별시 송파구 올림픽로4길 16,서울특별시교육청,서울특별시강동송파교육지원청,37.50945384,127.0738473
문화중학교,중학교,1984-03-08,공립,본교,광주광역시 북구 면앙로 111,광주광역시교육청,광주광역시동부교육지원청,35.17846694,126.9239162
부산영상예술고등학교,고등학교,1955-04-25,공립,본교,부산광역시 영도구 영상길 100,부산광역시교육청,부산광역시서부교육지원청,35.08513613,129.0449175
김화공업고등학교,고등학교,1968-12-03,공립,본교,강원도 철원군 서면 와수1로 72,강원도교육청,강원도철원교육지원청,38.24340756,127.4349464
성복고등학교,고등학교,2011-10-02,공립,본교,경기도 용인시 수지구 도마치로 92,경기도교육청,경기도용인교육지원청,37.32336344,127.0611228
부산센텀여자고등학교,고등학교,2004-03-01,사립,본교,부산광역시 해운대구 해운대로469번길 50-1,부산광역시교육청,부산광역시해운대교육지원청,35.16591884,129.1443578
불로중학교,중학교,1990-12-08,공립,본교,대구광역시 동구 방천로5길 8,대구광역시교육청,대구광역시동부교육지원청,35.89830061,128.6344118
오륜중학교,중학교,1989-04-18,공립,본교,서울특별시 송파구 양재대로 1242,서울특별시교육청,서울특별시강동송파교육지원청,37.51632395,127.1389238
대구범일초등학교,초등학교,1992-07-25,공립,본교,대구광역시 수성구 범안로4길 22,대구광역시교육청,대구광역시동부교육지원청,35.81631646,128.6388284
대구복명초등학교,초등학교,1926-04-10,공립,본교,대구광역시 수성구 범안로20길 8,대구광역시교육청,대구광역시동부교육지원청,35.8176268,128.6472131
안중초등학교,초등학교,1938-04-01,공립,본교,충청남도 태안군 안면읍 율포길 31,충청남도교육청,충청남도태안교육지원청,36.47401169,126.3722967
대전중원초등학교,초등학교,1991-04-06,공립,본교,대전광역시 대덕구 중리로64번길 45,대전광역시교육청,대전광역시동부교육지원청,36.3658142,127.4280277
용아초등학교,초등학교,2020-10-10,공립,본교,충청북도 청주시 상당구 중고개로142번길 32-15,충청북도교육청,충청북도청주교육지원청,36.61822602,127.5219428
광주자동화설비공업고등학교,고등학교,1979-03-08,공립,본교,광주광역시 광산구 사암로92번길 136-26,광주광역시교육청,광주광역시서부교육지원청,35.15002094,126.8140921
