,날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
0,1907-10-01,108,13.5,7.9,20.7
1,1907-10-02,108,16.2,7.9,22.0
2,1907-10-03,108,16.2,13.1,21.3
3,1907-10-04,108,16.5,11.2,22.0
4,1907-10-05,108,17.6,10.9,25.4
5,1907-10-06,108,13.0,11.2,21.3
6,1907-10-07,108,11.3,6.3,16.1
7,1907-10-08,108,8.9,3.9,14.9
8,1907-10-09,108,11.6,3.8,21.1
9,1907-10-10,108,14.2,6.4,24.1
10,1907-10-11,108,15.4,10.1,20.4
11,1907-10-12,108,13.9,11.1,17.4
12,1907-10-13,108,13.8,8.3,21.3
13,1907-10-14,108,13.0,6.1,20.6
14,1907-10-15,108,13.1,5.7,20.9
15,1907-10-16,108,14.1,8.2,20.2
16,1907-10-17,108,16.4,10.3,21.6
17,1907-10-18,108,14.3,9.8,20.9
18,1907-10-19,108,13.9,6.7,21.3
19,1907-10-20,108,18.3,12.4,22.7
20,1907-10-21,108,15.2,10.7,19.9
21,1907-10-22,108,15.4,12.1,19.6
22,1907-10-23,108,13.1,8.1,16.3
23,1907-10-24,108,9.7,3.3,17.1
24,1907-10-25,108,12.7,6.2,18.7
25,1907-10-26,108,11.8,7.2,18.2
26,1907-10-27,108,14.0,7.7,20.7
27,1907-10-28,108,13.8,8.4,19.6
28,1907-10-29,108,14.3,10.7,20.0
29,1907-10-30,108,12.2,6.7,20.1
30,1907-10-31,108,13.4,5.2,20.3
31,1907-11-01,108,16.1,11.7,21.3
32,1907-11-02,108,14.2,9.1,21.1
33,1907-11-03,108,6.4,2.3,11.1
34,1907-11-04,108,5.9,-1.0,13.6
35,1907-11-05,108,8.6,1.7,17.0
36,1907-11-06,108,9.5,3.6,18.1
37,1907-11-07,108,5.7,0.0,12.4
38,1907-11-08,108,4.1,-0.7,9.4
39,1907-11-09,108,6.9,0.7,11.9
40,1907-11-10,108,7.9,1.7,13.2
41,1907-11-11,108,10.3,8.2,13.4
42,1907-11-12,108,9.9,5.4,14.9
43,1907-11-13,108,9.5,3.7,16.4
44,1907-11-14,108,9.5,5.1,15.2
45,1907-11-15,108,11.3,3.9,17.6
46,1907-11-16,108,11.6,10.1,12.6
47,1907-11-17,108,6.6,0.7,11.7
48,1907-11-18,108,0.6,-2.7,6.7
49,1907-11-19,108,0.4,-2.5,4.3
50,1907-11-20,108,2.7,-1.2,7.1
51,1907-11-21,108,2.2,-3.5,6.2
52,1907-11-22,108,8.9,3.2,11.2
53,1907-11-23,108,7.7,5.9,9.9
54,1907-11-24,108,-1.1,-5.0,5.9
55,1907-11-25,108,-4.5,-7.3,-0.7
56,1907-11-26,108,-1.0,-5.7,1.5
57,1907-11-27,108,-1.1,-6.1,1.9
58,1907-11-28,108,-2.7,-8.5,2.0
59,1907-11-29,108,-0.2,-4.6,2.9
60,1907-11-30,108,-6.6,-8.9,-2.4
61,1907-12-01,108,-4.6,-10.5,1.4
62,1907-12-02,108,-3.1,-9.0,3.4
63,1907-12-03,108,1.9,-2.6,6.1
64,1907-12-04,108,-1.2,-2.7,1.3
65,1907-12-05,108,-1.0,-6.9,2.6
66,1907-12-06,108,-1.3,-6.1,5.8
67,1907-12-07,108,-4.1,-9.3,1.9
68,1907-12-08,108,-1.1,-7.2,6.6
69,1907-12-09,108,3.2,-4.3,8.1
70,1907-12-10,108,-1.4,-5.1,4.3
71,1907-12-11,108,-2.3,-7.1,0.6
72,1907-12-12,108,-0.1,-3.1,3.8
73,1907-12-13,108,4.0,-3.5,9.0
74,1907-12-14,108,-6.0,-9.9,6.4
75,1907-12-15,108,-8.1,-11.9,-5.1
76,1907-12-16,108,-7.3,-11.9,-2.4
77,1907-12-17,108,-7.3,-13.2,-2.1
78,1907-12-18,108,-5.5,-12.3,-0.4
79,1907-12-19,108,-6.5,-11.9,-0.2
80,1907-12-20,108,-2.9,-8.1,1.9
81,1907-12-21,108,-12.1,-14.8,-8.1
82,1907-12-22,108,-13.4,-18.0,-10.2
83,1907-12-23,108,-13.3,-20.1,-9.4
84,1907-12-24,108,-3.2,-9.7,0.9
85,1907-12-25,108,3.5,1.1,6.8
86,1907-12-26,108,3.2,-1.9,6.4
87,1907-12-27,108,-3.8,-6.3,-0.7
88,1907-12-28,108,-4.6,-9.6,-1.9
89,1907-12-29,108,-9.0,-13.5,-4.4
90,1907-12-30,108,-9.2,-14.2,-6.1
91,1907-12-31,108,-4.0,-7.1,-2.1
92,1908-01-01,108,-5.9,-9.1,-1.3
93,1908-01-02,108,-7.7,-13.9,-3.0
94,1908-01-03,108,-6.2,-10.8,-2.9
95,1908-01-04,108,-7.5,-12.8,-1.7
96,1908-01-05,108,-4.8,-11.3,-0.1
97,1908-01-06,108,-1.1,-5.1,2.9
98,1908-01-07,108,-4.4,-6.7,-1.2
99,1908-01-08,108,-6.3,-10.4,-0.9
100,1908-01-09,108,-3.2,-9.3,2.0
101,1908-01-10,108,0.3,-4.5,3.3
102,1908-01-11,108,1.7,-1.0,4.8
103,1908-01-12,108,2.0,-1.3,4.5
104,1908-01-13,108,1.4,-3.7,4.7
105,1908-01-14,108,-3.2,-7.4,0.1
106,1908-01-15,108,-1.9,-4.5,0.9
107,1908-01-16,108,-8.9,-11.2,-4.5
108,1908-01-17,108,-6.5,-11.3,-3.6
109,1908-01-18,108,1.1,-3.9,2.8
110,1908-01-19,108,1.7,1.3,2.8
111,1908-01-20,108,-1.1,-7.4,2.3
112,1908-01-21,108,-9.1,-11.2,-6.1
113,1908-01-22,108,-9.7,-14.3,-5.1
114,1908-01-23,108,-7.1,-13.4,-2.7
115,1908-01-24,108,-2.0,-4.7,0.1
116,1908-01-25,108,-1.2,-2.4,0.3
117,1908-01-26,108,-4.1,-6.4,-0.6
118,1908-01-27,108,-4.4,-9.9,0.0
119,1908-01-28,108,-6.1,-10.8,-1.3
120,1908-01-29,108,-3.5,-10.7,0.8
121,1908-01-30,108,-1.1,-2.2,0.8
122,1908-01-31,108,1.4,-2.4,6.2
123,1908-02-01,108,-2.2,-6.4,1.6
124,1908-02-02,108,-3.1,-7.5,-0.2
