지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균 상대습도(%)
108,서울,2016.5.1,18.8,12.2,26,40.5
108,서울,2016.5.2,21.1,16.5,28.4,64.5
108,서울,2016.5.3,12.9,8.9,17.6,86.1
108,서울,2016.5.4,15.7,10.2,20.6,46.6
108,서울,2016.5.5,18.9,10.2,26.9,50.8
108,서울,2016.5.6,16.3,13,18.6,89.3
108,서울,2016.5.7,16.5,10.7,22.6,60.3
108,서울,2016.5.8,19.4,11.6,26.8,44.8
108,서울,2016.5.9,20.2,16.3,25.4,43
108,서울,2016.5.10,14.5,12.5,18.1,82.4
108,서울,2016.5.11,16.4,10.4,23.5,60.9
108,서울,2016.5.12,17.8,12.1,24,62.4
108,서울,2016.5.13,18.6,12.7,25.4,57
108,서울,2016.5.14,20.2,15.1,26.9,47.1
108,서울,2016.5.15,17.4,12.3,24.2,73.9
108,서울,2016.5.16,15.9,10.8,21.9,57
108,서울,2016.5.17,19.3,10.9,26.6,48.8
108,서울,2016.5.18,22.3,13.5,29.5,40.3
108,서울,2016.5.19,24.3,16.3,31.9,36.4
108,서울,2016.5.20,24,16.8,31.6,32
108,서울,2016.5.21,24.1,17.8,30.4,23.8
108,서울,2016.5.22,24.7,17.6,31.7,35
108,서울,2016.5.23,23.3,18.3,29.4,43
108,서울,2016.5.24,16.8,15.4,21.8,82.6
108,서울,2016.5.25,19.7,15.3,24.4,67.9
108,서울,2016.5.26,19.4,17.5,22.9,72
108,서울,2016.5.27,20.9,14.8,27.1,61.3
108,서울,2016.5.28,21.7,17.2,28,56.1
108,서울,2016.5.29,21.5,17.2,27.6,56.1
108,서울,2016.5.30,22.1,16.9,28.9,57.3
108,서울,2016.5.31,21.6,17.4,27.6,63.6
108,서울,2016.6.1,23.3,17.1,29.9,45.8
108,서울,2016.6.2,23.2,17.2,29.1,38.3
108,서울,2016.6.3,22.2,17.6,27.7,48.1
108,서울,2016.6.4,21.2,18.2,26.3,51.8
108,서울,2016.6.5,24.7,17.3,32.2,47.3
108,서울,2016.6.6,23.3,20.8,28.4,49.1
108,서울,2016.6.7,21.7,19.6,25.9,69.5
108,서울,2016.6.8,22.1,18.2,27.7,65.9
108,서울,2016.6.9,24.1,17.8,31.3,59.5
108,서울,2016.6.10,24.6,20.2,31.3,60.9
108,서울,2016.6.11,23.5,20.9,26.5,74.3
108,서울,2016.6.12,23.5,19.9,26.7,79.4
108,서울,2016.6.13,23.5,19.4,29.6,70.5
108,서울,2016.6.14,23.8,19.7,29.5,62.5
108,서울,2016.6.15,20.9,17.4,24.5,81.8
108,서울,2016.6.16,20.9,18.6,24.9,73.5
108,서울,2016.6.17,23.8,18.6,29.1,63.1
108,서울,2016.6.18,24.5,20.1,29.9,58
108,서울,2016.6.19,24.1,20.3,29.3,64.5
108,서울,2016.6.20,24.7,19.6,30.7,66
108,서울,2016.6.21,26,21,31.3,60.1
108,서울,2016.6.22,24.3,20.9,30.2,75.1
108,서울,2016.6.23,24.7,19.6,29.4,71
108,서울,2016.6.24,23.1,21.1,25.7,75.8
108,서울,2016.6.25,22.8,19.2,26.7,63.1
108,서울,2016.6.26,24.4,19.4,30.3,58.4
108,서울,2016.6.27,24.4,19.9,29.5,55.5
108,서울,2016.6.28,24.7,20.4,29.7,61.1
108,서울,2016.6.29,25.3,20.9,30.2,58
108,서울,2016.6.30,24.6,23,26.9,78.1
108,서울,2016.7.1,24,22,26.6,86.5
108,서울,2016.7.2,23.5,20.6,27.7,81.4
108,서울,2016.7.3,23.5,21.1,26.8,70.4
108,서울,2016.7.4,21.8,20.2,24.1,85.1
108,서울,2016.7.5,23.1,20.2,24.8,93.6
108,서울,2016.7.6,22.9,20.3,26.9,74
108,서울,2016.7.7,24,20.1,28.5,71.6
108,서울,2016.7.8,27.3,21.2,32.4,66.5
108,서울,2016.7.9,27.7,23.2,32.7,64.8
108,서울,2016.7.10,27.9,23.2,33.1,64.4
108,서울,2016.7.11,28.4,24.8,33.4,67.4
108,서울,2016.7.12,26.3,22.1,30.9,65.5
108,서울,2016.7.13,26.3,23.2,29.5,69
108,서울,2016.7.14,27.5,24,32.4,66.9
108,서울,2016.7.15,26.2,23.7,29.2,60
108,서울,2016.7.16,20.8,19.8,23.8,92.8
108,서울,2016.7.17,21.7,20.4,23.1,82.9
108,서울,2016.7.18,24.4,20.7,28.4,75.1
108,서울,2016.7.19,27.1,20.9,32.4,65.5
108,서울,2016.7.20,28.6,24,32.9,62.5
108,서울,2016.7.21,28.3,24.9,32.2,61.3
108,서울,2016.7.22,29.1,25.3,34.1,64
108,서울,2016.7.23,28.7,27.2,31.6,70.4
108,서울,2016.7.24,28,27,30.1,77.9
108,서울,2016.7.25,28.4,26.4,31.4,75.3
108,서울,2016.7.26,28.4,25.6,31.9,69
108,서울,2016.7.27,27.6,26.7,28.9,76.4
108,서울,2016.7.28,28,26.7,30.5,70.6
108,서울,2016.7.29,26.3,23.4,28.4,82.3
108,서울,2016.7.30,28.6,26.4,33,73.5
108,서울,2016.7.31,28.9,26.6,32.8,72.1
108,서울,2016.8.1,28.4,25.8,32.4,72
108,서울,2016.8.2,27.2,25,31.1,72.5
108,서울,2016.8.3,29.1,24,34.2,65.4
108,서울,2016.8.4,30.7,26,35.7,59.6
108,서울,2016.8.5,31.2,26.5,36,60.1
108,서울,2016.8.6,30.5,26.6,34,64.8
108,서울,2016.8.7,30.6,27,35,56
108,서울,2016.8.8,30.5,26.4,35.5,63.1
108,서울,2016.8.9,29.3,26.4,33.6,68.3
108,서울,2016.8.10,29.4,26.1,34.8,66.3
108,서울,2016.8.11,30.5,26.1,36.4,64.1
108,서울,2016.8.12,30.4,26.4,35.9,68.3
108,서울,2016.8.13,30.2,26.8,35.1,67.9
108,서울,2016.8.14,28.9,27.3,31.8,74
108,서울,2016.8.15,29.1,25.8,34,65.5
108,서울,2016.8.16,29.3,26.2,34.9,64.9
108,서울,2016.8.17,29.9,25.1,34.7,60.4
108,서울,2016.8.18,29.9,26.2,34.3,61.9
108,서울,2016.8.19,28.9,26.6,33.2,69.5
108,서울,2016.8.20,30.1,26.5,34.9,59
108,서울,2016.8.21,30.7,26.9,36.6,57.5
108,서울,2016.8.22,30.7,25.8,36.3,58
108,서울,2016.8.23,28.3,26,33,68.8
108,서울,2016.8.24,29.1,26.4,32.9,59.1
108,서울,2016.8.25,27.1,24,32.2,70.4
108,서울,2016.8.26,23,19.5,28.2,57
108,서울,2016.8.27,23.4,16.9,29.7,43.3
108,서울,2016.8.28,21,18.3,24.5,62.5
108,서울,2016.8.29,22.2,17.4,27.1,54.5
108,서울,2016.8.30,20.6,17.9,24.5,60.4
108,서울,2016.8.31,17.7,16.1,19.2,85.3
108,서울,2016.9.1,23.2,15.8,28.6,71.3
108,서울,2016.9.2,24.2,20.6,29,68.5
108,서울,2016.9.3,23.9,20.4,28.6,73.8
108,서울,2016.9.4,25.6,22.1,29.6,71.3
108,서울,2016.9.5,26.4,23,31.1,66.1
108,서울,2016.9.6,24.7,21,29,69
108,서울,2016.9.7,24.3,20.9,28.6,69.8
108,서울,2016.9.8,23,21.5,26.5,76.4
108,서울,2016.9.9,23.9,19.7,29.3,71.1
108,서울,2016.9.10,24.4,20,29.1,65.4
108,서울,2016.9.11,24.5,22.1,28.2,66.3
